Actor,Movie,Screen Time,Source,Target
Harry Potter,The Sorcerer's Stone,72:45,1,9
Ron Weasley,The Sorcerer's Stone,28:15,1,10
Hermione Granger,The Sorcerer's Stone,23:15,1,11
Rubeus Hagrid,The Sorcerer's Stone,16:30,1,12
Professor Albus Dumbledore,The Sorcerer's Stone,9:45,1,13
Professor Minerva McGonagall,The Sorcerer's Stone,7:30,1,14
Professor Quirinus Quirrell,The Sorcerer's Stone,7,1,15
Draco Malfoy,The Sorcerer's Stone,4:15,1,16
Professor Severus Snape,The Sorcerer's Stone,4,1,17
Vernon Dursley,The Sorcerer's Stone,4,1,18
Neville Longbottom,The Sorcerer's Stone,3:15,1,19
Petunia Dursley,The Sorcerer's Stone,3,1,20
Mr. Ollivander,The Sorcerer's Stone,3,1,21
Dudley Dursley,The Sorcerer's Stone,2:45,1,22
Oliver Wood,The Sorcerer's Stone,2:45,1,23
Voldemort,The Sorcerer's Stone,2,1,24
The Sorting Hat,The Sorcerer's Stone,2,1,25
Hedwig,The Sorcerer's Stone,1:45,1,26
Madame Hooch,The Sorcerer's Stone,1:45,1,27
Percy Weasley,The Sorcerer's Stone,1:45,1,28
Seamus Finnigan,The Sorcerer's Stone,1:45,1,29
Fred Weasley,The Sorcerer's Stone,1:30,1,30
George Weasley,The Sorcerer's Stone,1:30,1,31
Firenze,The Sorcerer's Stone,1:30,1,32
Dean Thomas,The Sorcerer's Stone,1:15,1,33
Argus Filch,The Sorcerer's Stone,1:15,1,34
Lily Potter,The Sorcerer's Stone,1:15,1,35
James Potter,The Sorcerer's Stone,1,1,36
Professor Filius Flitwick,The Sorcerer's Stone,1,1,37
Fang,The Sorcerer's Stone,1,1,38
"Sir Nicholas ""Nearly-Headless Nick""",The Sorcerer's Stone,:45,1,39
Griphook,The Sorcerer's Stone,:45,1,40
Lee Jordan,The Sorcerer's Stone,:45,1,41
Marcus Flint,The Sorcerer's Stone,:45,1,42
Alicia Spinnet,The Sorcerer's Stone,:45,1,43
Vincent Crabbe,The Sorcerer's Stone,:45,1,44
Gregory Goyle,The Sorcerer's Stone,:45,1,45
Angelina Johnson,The Sorcerer's Stone,:30,1,46
Katie Bell,The Sorcerer's Stone,:30,1,47
Molly Weasley,The Sorcerer's Stone,:30,1,48
Ginny Weasley,The Sorcerer's Stone,:15,1,49
Fat Lady,The Sorcerer's Stone,:15,1,50
"""Scabbers"" / Peter Pettigrew",The Sorcerer's Stone,:15,1,51
Harry Potter,The Chamber of Secrets,83:45,2,9
Ron Weasley,The Chamber of Secrets,38:15,2,10
Hermione Granger,The Chamber of Secrets,15:30,2,11
Professor Albus Dumbledore,The Chamber of Secrets,10:45,2,13
Professor Gilderoy Lockhart,The Chamber of Secrets,10:30,2,52
Rubeus Hagrid,The Chamber of Secrets,8:15,2,12
Dobby,The Chamber of Secrets,7:30,2,53
Draco Malfoy,The Chamber of Secrets,7,2,16
Tom Riddle / Voldemort,The Chamber of Secrets,6:45,2,54
Lucius Malfoy,The Chamber of Secrets,6:45,2,55
Professor Minerva McGonagall,The Chamber of Secrets,5:45,2,14
Ginny Weasley,The Chamber of Secrets,4:45,2,49
Professor Severus Snape,The Chamber of Secrets,4:30,2,17
Arthur Weasley,The Chamber of Secrets,2:30,2,56
Cornelius Fudge,The Chamber of Secrets,2:30,2,57
Vernon Dursley,The Chamber of Secrets,2:30,2,18
Fred Weasley,The Chamber of Secrets,2:30,2,30
George Weasley,The Chamber of Secrets,2:30,2,31
Fawkes,The Chamber of Secrets,2:30,2,58
Molly Weasley,The Chamber of Secrets,2:15,2,48
Oliver Wood,The Chamber of Secrets,1:45,2,23
Argus Filch,The Chamber of Secrets,1:45,2,34
Hedwig,The Chamber of Secrets,1:45,2,26
Moaning Myrtle,The Chamber of Secrets,1:30,2,59
Petunia Dursley,The Chamber of Secrets,1:30,2,20
Professor Pomona Sprout,The Chamber of Secrets,1:30,2,60
Percy Weasley,The Chamber of Secrets,1:30,2,28
Fang,The Chamber of Secrets,1:30,2,38
Colin Creevy,The Chamber of Secrets,1:15,2,61
Dudley Dursley,The Chamber of Secrets,1:15,2,22
Neville Longbottom,The Chamber of Secrets,1:15,2,19
Madame Poppy Pomfrey,The Chamber of Secrets,1:15,2,62
Vincent Crabbe,The Chamber of Secrets,1:15,2,44
Gregory Goyle,The Chamber of Secrets,1:15,2,45
Dean Thomas,The Chamber of Secrets,1,2,33
